,name,release_date,description,start_date,event_type,project_key,control_date
0,Future Release of CaRT,2020-12-03 00:00:00+00:00,,,release_management,CART,2020-12-03 00:00:00+00:00
5,2.2 Community Release,2022-06-30 00:00:00+00:00,,,release_management,CART,2022-06-30 00:00:00+00:00
6,2.0 Community Release,2021-12-31 00:00:00+00:00,,,release_management,CART,2021-12-31 00:00:00+00:00
7,1.2 Community Release,2021-03-31 00:00:00+00:00,,2020-05-25 00:00:00+00:00,release_management,CART,2021-03-31 00:00:00+00:00
8,1.0 Community Release,2020-06-26 00:00:00+00:00,,,release_management,CART,2020-06-26 00:00:00+00:00
9,0.9 Community Release,2020-02-07 00:00:00+00:00,,,release_management,CART,2020-02-07 00:00:00+00:00
10,0.8 Community Release,2019-09-13 00:00:00+00:00,,,release_management,CART,2019-09-13 00:00:00+00:00
11,Server Addition,2020-09-15 00:00:00+00:00,,,release_management,CART,2020-09-15 00:00:00+00:00
12,0.6 Community Release,2019-06-21 00:00:00+00:00,,,release_management,CART,2019-06-21 00:00:00+00:00
13,0.6,2019-07-24 00:00:00+00:00,,,release_management,CART,2019-07-24 00:00:00+00:00
14,1.1 Community Release,2020-03-27 00:00:00+00:00,,,release_management,CART,2020-03-27 00:00:00+00:00
15,0.5 Community Release,2020-02-11 00:00:00+00:00,,,release_management,CART,2020-02-11 00:00:00+00:00
16,0.4 Community Release,2020-02-11 00:00:00+00:00,,,release_management,CART,2020-02-11 00:00:00+00:00
17,0.3 Community Release,2020-02-11 00:00:00+00:00,,,release_management,CART,2020-02-11 00:00:00+00:00
18,MS-160 DAOS PathForward Stabilization,2020-12-31 00:00:00+00:00,,,release_management,CART,2020-12-31 00:00:00+00:00
19,Backlog,,,,release_management,CART,
20,Unset,2021-03-12 00:00:00+00:00,,,release_management,CART,2021-03-12 00:00:00+00:00
21,1.3 Community Release,2021-12-30 00:00:00+00:00,,,release_management,CART,2021-12-30 00:00:00+00:00
22,2.1 Community Release,2022-06-30 00:00:00+00:00,,2021-12-16 00:00:00+00:00,release_management,CART,2022-06-30 00:00:00+00:00
23,2.0.2 Community Release,2022-03-25 00:00:00+00:00,,2022-01-06 00:00:00+00:00,release_management,CART,2022-03-25 00:00:00+00:00
25,2.0.1 Community Release,2022-01-31 00:00:00+00:00,,2022-01-03 00:00:00+00:00,release_management,CART,2022-01-31 00:00:00+00:00
