team,date,total_chat,total_engaged_users,total_chat_copy_events,total_chat_insertion_events,chat_per_user,chat_acceptance_rate
copilot-users,2025-01-23,1440,70,321,15,20.571428571428573,0.2333333333333333
copilot-users,2025-01-24,280,21,157,4,13.333333333333334,0.575
gmar_apl_acces-github_user_p,2025-01-23,1440,70,321,15,20.571428571428573,0.2333333333333333
gmar_apl_acces-github_user_p,2025-01-24,280,21,157,4,13.333333333333334,0.575
ia-developer,2025-01-23,56,2,5,3,28.0,0.1428571428571428
copilot-users,2025-01-25,104,5,47,0,20.8,0.4519230769230769
copilot-users,2025-01-26,54,4,21,0,13.5,0.3888888888888889
copilot-users,2025-01-27,3,2,1,0,1.5,0.3333333333333333
gmar_apl_acces-github_user_p,2025-01-25,104,5,47,0,20.8,0.4519230769230769
gmar_apl_acces-github_user_p,2025-01-26,54,4,21,0,13.5,0.3888888888888889
gmar_apl_acces-github_user_p,2025-01-27,3,2,1,0,1.5,0.3333333333333333
ia-developer,2025-01-27,3,1,0,0,3.0,0.0
copilot-users,2025-01-28,801,69,144,15,11.608695652173912,0.198501872659176
gmar_apl_acces-github_user_p,2025-01-28,801,69,144,15,11.608695652173912,0.198501872659176
ia-developer,2025-01-28,17,3,0,0,5.666666666666667,0.0
copilot-users,2025-01-29,1488,80,507,38,18.6,0.36626344086021506
copilot-users,2025-01-30,1597,80,322,16,19.9625,0.2116468378209142
copilot-users,2025-01-31,1242,68,225,22,18.264705882352942,0.19887278582930756
copilot-users,2025-02-01,118,5,9,0,23.6,0.07627118644067797
copilot-users,2025-02-02,42,2,0,0,21.0,0.0
copilot-users,2025-02-03,1322,74,301,29,17.864864864864863,0.24962178517397882
copilot-users,2025-02-04,968,70,399,29,13.82857142857143,0.44214876033057854
copilot-users,2025-02-05,753,75,145,3,10.04,0.19654714475431606
copilot-users,2025-02-06,863,73,204,9,11.821917808219178,0.24681344148319814
copilot-users,2025-02-07,734,71,223,13,10.338028169014084,0.3215258855585831
copilot-users,2025-02-08,120,10,35,0,12.0,0.2916666666666667
copilot-users,2025-02-09,67,6,15,5,11.166666666666666,0.29850746268656714
copilot-users,2025-02-10,1058,85,319,26,12.447058823529412,0.32608695652173914
copilot-users,2025-02-11,1140,94,252,32,12.127659574468085,0.24912280701754386
copilot-users,2025-02-12,1517,109,369,63,13.917431192660551,0.28477257745550427
copilot-users,2025-02-13,1158,94,290,46,12.319148936170214,0.29015544041450775
copilot-users,2025-02-14,1021,70,243,20,14.585714285714285,0.257590597453477
copilot-users,2025-02-15,117,9,13,13,13.0,0.2222222222222222
copilot-users,2025-02-16,101,3,3,13,33.666666666666664,0.15841584158415842
copilot-users,2025-02-17,929,69,291,32,13.46376811594203,0.34768568353067814
copilot-users,2025-02-18,1132,93,339,35,12.172043010752688,0.3303886925795053
copilot-users,2025-02-19,1285,101,343,40,12.722772277227723,0.2980544747081712
copilot-users,2025-02-20,1024,91,393,50,11.252747252747254,0.4326171875
copilot-users,2025-02-21,958,80,228,13,11.975,0.25156576200417535
copilot-users,2025-02-22,68,5,24,0,13.6,0.35294117647058826
copilot-users,2025-02-23,121,8,57,0,15.125,0.47107438016528924
copilot-users,2025-02-24,966,83,250,34,11.63855421686747,0.2939958592132505
gmar_apl_acces-github_user_p,2025-01-29,1488,80,507,38,18.6,0.36626344086021506
gmar_apl_acces-github_user_p,2025-01-30,1597,80,322,16,19.9625,0.2116468378209142
gmar_apl_acces-github_user_p,2025-01-31,1242,68,225,22,18.264705882352942,0.19887278582930756
gmar_apl_acces-github_user_p,2025-02-01,118,5,9,0,23.6,0.07627118644067797
gmar_apl_acces-github_user_p,2025-02-02,42,2,0,0,21.0,0.0
gmar_apl_acces-github_user_p,2025-02-03,1322,74,301,29,17.864864864864863,0.24962178517397882
gmar_apl_acces-github_user_p,2025-02-04,943,68,393,29,13.867647058823529,0.44750795334040294
gmar_apl_acces-github_user_p,2025-02-05,703,74,133,3,9.5,0.1934566145092461
gmar_apl_acces-github_user_p,2025-02-06,861,72,202,9,11.958333333333334,0.2450638792102207
gmar_apl_acces-github_user_p,2025-02-07,728,70,222,13,10.4,0.3228021978021978
gmar_apl_acces-github_user_p,2025-02-08,120,10,35,0,12.0,0.2916666666666667
gmar_apl_acces-github_user_p,2025-02-09,67,6,15,5,11.166666666666666,0.29850746268656714
gmar_apl_acces-github_user_p,2025-02-10,1012,83,304,26,12.19277108433735,0.32608695652173914
gmar_apl_acces-github_user_p,2025-02-11,1096,92,242,32,11.91304347826087,0.25
gmar_apl_acces-github_user_p,2025-02-12,1507,107,365,63,14.08411214953271,0.2840079628400796
gmar_apl_acces-github_user_p,2025-02-13,1150,93,290,46,12.365591397849462,0.2921739130434783
gmar_apl_acces-github_user_p,2025-02-14,1021,70,243,20,14.585714285714285,0.257590597453477
gmar_apl_acces-github_user_p,2025-02-15,117,9,13,13,13.0,0.2222222222222222
gmar_apl_acces-github_user_p,2025-02-16,101,3,3,13,33.666666666666664,0.15841584158415842
gmar_apl_acces-github_user_p,2025-02-17,929,69,291,32,13.46376811594203,0.34768568353067814
gmar_apl_acces-github_user_p,2025-02-18,1126,91,336,35,12.373626373626374,0.32948490230905864
gmar_apl_acces-github_user_p,2025-02-19,1275,99,328,40,12.878787878787879,0.28862745098039216
gmar_apl_acces-github_user_p,2025-02-20,1014,90,392,50,11.266666666666667,0.4358974358974359
gmar_apl_acces-github_user_p,2025-02-21,943,79,227,13,11.936708860759493,0.2545068928950159
gmar_apl_acces-github_user_p,2025-02-22,68,5,24,0,13.6,0.35294117647058826
gmar_apl_acces-github_user_p,2025-02-23,121,8,57,0,15.125,0.47107438016528924
gmar_apl_acces-github_user_p,2025-02-24,966,83,250,34,11.63855421686747,0.2939958592132505
ia-developer,2025-01-29,13,1,5,0,13.0,0.38461538461538464
ia-developer,2025-01-31,3,1,0,0,3.0,0.0
ia-developer,2025-02-03,12,1,4,0,12.0,0.3333333333333333
ia-developer,2025-02-04,31,3,6,0,10.333333333333334,0.1935483870967742
ia-developer,2025-02-05,52,2,12,0,26.0,0.23076923076923078
ia-developer,2025-02-06,4,2,2,0,2.0,0.5
ia-developer,2025-02-07,51,3,5,0,17.0,0.09803921568627451
ia-developer,2025-02-10,50,3,16,0,16.666666666666668,0.32
ia-developer,2025-02-11,48,3,10,0,16.0,0.20833333333333334
ia-developer,2025-02-12,30,4,10,0,7.5,0.3333333333333333
ia-developer,2025-02-13,16,2,2,0,8.0,0.125
ia-developer,2025-02-14,20,1,0,0,20.0,0.0
ia-developer,2025-02-17,6,2,0,0,3.0,0.0
ia-developer,2025-02-18,16,4,7,0,4.0,0.4375
ia-developer,2025-02-19,60,5,28,1,12.0,0.48333333333333334
ia-developer,2025-02-20,10,1,1,0,10.0,0.1
ia-developer,2025-02-21,36,4,2,0,9.0,0.05555555555555555
ia-developer,2025-02-23,2,1,0,0,2.0,0.0
ia-developer,2025-02-24,2,1,0,0,2.0,0.0
ia-team-stat-copilot-devx,2025-02-11,4,1,0,0,4.0,0.0
ia-team-stat-copilot-devx,2025-02-12,10,3,1,0,3.3333333333333335,0.1
ia-team-stat-copilot-devx,2025-02-13,28,2,11,1,14.0,0.42857142857142855
ia-team-stat-copilot-devx,2025-02-14,38,3,7,0,12.666666666666666,0.18421052631578946
ia-team-stat-copilot-devx,2025-02-17,42,3,10,0,14.0,0.23809523809523808
ia-team-stat-copilot-devx,2025-02-18,24,5,1,0,4.8,0.041666666666666664
ia-team-stat-copilot-devx,2025-02-19,58,3,37,0,19.333333333333332,0.6379310344827587
ia-team-stat-copilot-devx,2025-02-20,126,4,42,0,31.5,0.3333333333333333
ia-team-stat-copilot-devx,2025-02-21,77,5,10,0,15.4,0.12987012987012986
ia-team-stat-copilot-devx,2025-02-24,53,2,10,0,26.5,0.18867924528301888
ia-team-stat-copilot-devxalm,2025-02-11,10,3,1,0,3.3333333333333335,0.1
ia-team-stat-copilot-devxalm,2025-02-12,28,3,10,0,9.333333333333334,0.35714285714285715
ia-team-stat-copilot-devxalm,2025-02-13,8,1,2,0,8.0,0.25
ia-team-stat-copilot-devxalm,2025-02-14,24,2,0,0,12.0,0.0
ia-team-stat-copilot-devxalm,2025-02-17,6,2,0,0,3.0,0.0
ia-team-stat-copilot-devxalm,2025-02-18,14,3,7,0,4.666666666666667,0.5
