team,date,language,total_code_lines_accepted,total_code_lines_suggested,completion_acceptance_rate
copilot-users,2025-01-23,bat,0,9,0.0
copilot-users,2025-01-23,csharp,388,1541,0.2517845554834523
copilot-users,2025-01-23,dockerfile,0,9,0.0
copilot-users,2025-01-23,dotenv,6,34,0.1764705882352941
copilot-users,2025-01-23,html,5,44,0.1136363636363636
copilot-users,2025-01-23,ini,0,1,0.0
copilot-users,2025-01-23,java,45,360,0.125
copilot-users,2025-01-23,javascript,1,10,0.1
copilot-users,2025-01-23,json,4,110,0.0363636363636363
copilot-users,2025-01-23,jsonc,0,4,0.0
copilot-users,2025-01-23,latex,60,225,0.2666666666666666
copilot-users,2025-01-23,markdown,20,137,0.145985401459854
copilot-users,2025-01-23,powershell,168,691,0.2431259044862518
copilot-users,2025-01-23,python,12,25,0.48
copilot-users,2025-01-23,razor,1,12,0.0833333333333333
copilot-users,2025-01-23,sas,0,6,0.0
copilot-users,2025-01-23,scss,1,9,0.1111111111111111
copilot-users,2025-01-23,shellscript,1,8,0.125
copilot-users,2025-01-23,sql,13,148,0.0878378378378378
copilot-users,2025-01-23,terraform,75,380,0.1973684210526315
copilot-users,2025-01-23,typescript,132,696,0.1896551724137931
copilot-users,2025-01-23,typescriptreact,549,2295,0.2392156862745098
copilot-users,2025-01-23,unknown,33,413,0.0799031476997578
copilot-users,2025-01-23,vb,0,8,0.0
copilot-users,2025-01-23,xml,6,102,0.0588235294117647
copilot-users,2025-01-23,yaml,99,537,0.1843575418994413
copilot-users,2025-01-24,csharp,100,1784,0.0560538116591928
copilot-users,2025-01-24,go,0,2,0.0
copilot-users,2025-01-24,java,15,141,0.1063829787234042
copilot-users,2025-01-24,json,0,98,0.0
copilot-users,2025-01-24,markdown,0,3,0.0
copilot-users,2025-01-24,powershell,38,277,0.1371841155234657
copilot-users,2025-01-24,scss,2,151,0.0132450331125827
copilot-users,2025-01-24,shellscript,0,2,0.0
copilot-users,2025-01-24,sql,0,5,0.0
copilot-users,2025-01-24,terraform,47,150,0.3133333333333333
copilot-users,2025-01-24,typescript,32,265,0.120754716981132
copilot-users,2025-01-24,typescriptreact,51,385,0.1324675324675324
copilot-users,2025-01-24,unknown,5,82,0.0609756097560975
copilot-users,2025-01-24,yaml,25,96,0.2604166666666667
gmar_apl_acces-github_user_p,2025-01-23,bat,0,9,0.0
gmar_apl_acces-github_user_p,2025-01-23,csharp,384,1528,0.2513089005235602
gmar_apl_acces-github_user_p,2025-01-23,dockerfile,0,9,0.0
gmar_apl_acces-github_user_p,2025-01-23,dotenv,6,34,0.1764705882352941
gmar_apl_acces-github_user_p,2025-01-23,html,5,44,0.1136363636363636
gmar_apl_acces-github_user_p,2025-01-23,ini,0,1,0.0
gmar_apl_acces-github_user_p,2025-01-23,java,45,360,0.125
gmar_apl_acces-github_user_p,2025-01-23,javascript,1,10,0.1
gmar_apl_acces-github_user_p,2025-01-23,json,4,110,0.0363636363636363
gmar_apl_acces-github_user_p,2025-01-23,jsonc,0,4,0.0
gmar_apl_acces-github_user_p,2025-01-23,latex,60,225,0.2666666666666666
gmar_apl_acces-github_user_p,2025-01-23,markdown,20,137,0.145985401459854
gmar_apl_acces-github_user_p,2025-01-23,powershell,168,691,0.2431259044862518
gmar_apl_acces-github_user_p,2025-01-23,python,12,25,0.48
gmar_apl_acces-github_user_p,2025-01-23,razor,1,12,0.0833333333333333
gmar_apl_acces-github_user_p,2025-01-23,sas,0,6,0.0
gmar_apl_acces-github_user_p,2025-01-23,scss,1,9,0.1111111111111111
gmar_apl_acces-github_user_p,2025-01-23,shellscript,1,8,0.125
gmar_apl_acces-github_user_p,2025-01-23,sql,13,148,0.0878378378378378
gmar_apl_acces-github_user_p,2025-01-23,terraform,75,380,0.1973684210526315
gmar_apl_acces-github_user_p,2025-01-23,typescript,132,696,0.1896551724137931
gmar_apl_acces-github_user_p,2025-01-23,typescriptreact,549,2295,0.2392156862745098
gmar_apl_acces-github_user_p,2025-01-23,unknown,25,402,0.0621890547263681
gmar_apl_acces-github_user_p,2025-01-23,vb,0,8,0.0
gmar_apl_acces-github_user_p,2025-01-23,xml,6,102,0.0588235294117647
gmar_apl_acces-github_user_p,2025-01-23,yaml,98,536,0.1828358208955224
gmar_apl_acces-github_user_p,2025-01-24,csharp,100,1784,0.0560538116591928
gmar_apl_acces-github_user_p,2025-01-24,go,0,2,0.0
gmar_apl_acces-github_user_p,2025-01-24,java,15,141,0.1063829787234042
gmar_apl_acces-github_user_p,2025-01-24,json,0,98,0.0
gmar_apl_acces-github_user_p,2025-01-24,markdown,0,3,0.0
gmar_apl_acces-github_user_p,2025-01-24,powershell,38,277,0.1371841155234657
gmar_apl_acces-github_user_p,2025-01-24,scss,2,151,0.0132450331125827
gmar_apl_acces-github_user_p,2025-01-24,shellscript,0,2,0.0
gmar_apl_acces-github_user_p,2025-01-24,sql,0,5,0.0
gmar_apl_acces-github_user_p,2025-01-24,terraform,47,150,0.3133333333333333
gmar_apl_acces-github_user_p,2025-01-24,typescript,32,265,0.120754716981132
gmar_apl_acces-github_user_p,2025-01-24,typescriptreact,51,385,0.1324675324675324
gmar_apl_acces-github_user_p,2025-01-24,unknown,5,82,0.0609756097560975
gmar_apl_acces-github_user_p,2025-01-24,yaml,24,95,0.2526315789473684
ia-developer,2025-01-23,csharp,4,13,0.3076923076923077
ia-developer,2025-01-23,javascript,1,4,0.25
ia-developer,2025-01-23,json,0,3,0.0
ia-developer,2025-01-23,latex,60,225,0.2666666666666666
ia-developer,2025-01-23,powershell,20,43,0.4651162790697674
ia-developer,2025-01-23,unknown,8,11,0.7272727272727273
ia-developer,2025-01-23,yaml,1,1,1.0
ia-developer,2025-01-24,yaml,1,1,1.0
copilot-users,2025-01-25,csharp,3,49,0.0612244897959183
copilot-users,2025-01-25,css,0,12,0.0
copilot-users,2025-01-25,python,0,6,0.0
copilot-users,2025-01-25,typescript,16,109,0.146788990825688
copilot-users,2025-01-25,typescriptreact,24,109,0.2201834862385321
copilot-users,2025-01-25,xml,0,4,0.0
copilot-users,2025-01-26,csharp,25,92,0.2717391304347826
copilot-users,2025-01-26,css,0,3,0.0
copilot-users,2025-01-26,json,1,7,0.1428571428571428
copilot-users,2025-01-26,python,0,1,0.0
copilot-users,2025-01-26,scss,0,11,0.0
copilot-users,2025-01-26,typescriptreact,4,38,0.1052631578947368
copilot-users,2025-01-26,xml,0,1,0.0
copilot-users,2025-01-27,csharp,1,1,1.0
copilot-users,2025-01-27,python,5,35,0.1428571428571428
copilot-users,2025-01-27,shellscript,1,3,0.3333333333333333
gmar_apl_acces-github_user_p,2025-01-25,csharp,3,49,0.0612244897959183
gmar_apl_acces-github_user_p,2025-01-25,css,0,12,0.0
gmar_apl_acces-github_user_p,2025-01-25,python,0,6,0.0
gmar_apl_acces-github_user_p,2025-01-25,typescript,16,109,0.146788990825688
gmar_apl_acces-github_user_p,2025-01-25,typescriptreact,24,109,0.2201834862385321
gmar_apl_acces-github_user_p,2025-01-25,xml,0,4,0.0
gmar_apl_acces-github_user_p,2025-01-26,csharp,25,92,0.2717391304347826
gmar_apl_acces-github_user_p,2025-01-26,css,0,3,0.0
gmar_apl_acces-github_user_p,2025-01-26,json,1,7,0.1428571428571428
gmar_apl_acces-github_user_p,2025-01-26,python,0,1,0.0
gmar_apl_acces-github_user_p,2025-01-26,scss,0,11,0.0
gmar_apl_acces-github_user_p,2025-01-26,typescriptreact,4,38,0.1052631578947368
gmar_apl_acces-github_user_p,2025-01-26,xml,0,1,0.0
gmar_apl_acces-github_user_p,2025-01-27,csharp,1,1,1.0
gmar_apl_acces-github_user_p,2025-01-27,python,5,35,0.1428571428571428
